History VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Serial no.;36882;Hardware;2.05;Software;1.43;Protocol;103;Pulse rate;0;Country code;49;PCM;-1;FLG;17
;;;;;;;;;;;;;;;
Side;A;Status;1-0000-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensor no.;Date;Error counter;Fuel transfers;Recovery rate in %;Mean value of recovery rate in %;Temperature in °C;VC status;Vapour flow rate in l/min;Fuel flow rate in l/min;Recovery rate (+);Recovery rate (-);;;;
;;;;;;;;;;;;;;;
71725;27.12.2023;0;61573;111;117,1;10,5;37;25,3;22,8;111;;;;;
71725;27.12.2023;0;61572;113;117,1;11,3;32;25,9;23;113;;;;;
71725;27.12.2023;0;61571;111;117,1;11,7;21;25,1;22,5;111;;;;;
71725;27.12.2023;0;61570;111;117,1;10,9;30;25,1;22,6;111;;;;;
71725;27.12.2023;0;61569;111;117,1;11,1;27;33,2;30;111;;;;;
71725;27.12.2023;0;61568;110;117,1;10,6;20;25,3;22,9;110;;;;;
71725;27.12.2023;0;61567;109;117,1;10,7;34;25,3;23,2;109;;;;;
71725;27.12.2023;0;61566;115;117,1;10,3;18;26,5;23;115;;;;;
71725;27.12.2023;6;61565;152;117,1;8,7;17;35,2;23,2;152;;;;;
71725;27.12.2023;5;61564;148;117,1;8;34;34,3;23,2;148;;;;;
